iter	RMSE
0	14.17635839
1	13.26282341
2	12.43660946
3	11.66364606
4	10.9667797
5	10.3894808
6	9.911075663
7	9.460982089
8	9.042239535
9	8.614756266
10	8.258523327
11	7.968226103
12	7.729637416
13	7.473174248
14	7.261093247
15	7.043266274
16	6.873542668
17	6.702200131
18	6.550693496
19	6.42132086
20	6.329742095
21	6.232043861
22	6.132707075
23	6.042196671
24	5.95778242
25	5.894838136
26	5.822884731
27	5.768365925
28	5.69963082
29	5.653190015
30	5.597106339
31	5.557615152
32	5.515645668
33	5.482250138
34	5.445707202
35	5.404982481
36	5.376496631
37	5.349495604
38	5.321176202
39	5.29852443
40	5.27902611
41	5.259328567
42	5.242057454
43	5.232157332
44	5.217819713
45	5.192960473
46	5.173654119
47	5.15544535
48	5.140704944
49	5.132201732
50	5.115650916
51	5.108225308
52	5.087873174
53	5.064810407
54	5.04854687
55	5.039032507
56	5.025049829
57	5.010960187
58	5.002776978
59	4.991958072
60	4.97496298
61	4.963010959
62	4.953738264
63	4.940322239
64	4.938836377
65	4.932225251
66	4.926932394
67	4.917726986
68	4.905038765
69	4.895385103
70	4.888824544
71	4.885958372
72	4.877311689
73	4.87167412
74	4.861017727
75	4.849272801
76	4.838113956
77	4.829611825
78	4.814532526
79	4.808852977
80	4.796862324
81	4.79125042
82	4.777829262
83	4.765236473
84	4.759470068
85	4.746642938
86	4.738002604
87	4.726105071
88	4.715569952
89	4.702535557
90	4.697657699
91	4.683554596
92	4.679433305
93	4.672696167
94	4.665926809
95	4.659229482
96	4.649509519
97	4.642900402
98	4.627394641
99	4.617623669
