iter	RMSE
0	14.47963813
1	14.10147745
2	13.75227543
3	13.38858469
4	13.05117788
5	12.73599231
6	12.43129724
7	12.16308542
8	11.87786361
9	11.59669839
10	11.3113919
11	11.07105194
12	10.81965196
13	10.58969508
14	10.376476
15	10.13318765
16	9.92413675
17	9.731117933
18	9.540110306
19	9.348785778
20	9.205395666
21	9.035157404
22	8.879697129
23	8.710604083
24	8.559235609
25	8.41861534
26	8.283635322
27	8.159912731
28	8.039553881
29	7.920703587
30	7.817712226
31	7.692262293
32	7.587052413
33	7.488086325
34	7.381983142
35	7.287794987
36	7.195596452
37	7.134584411
38	7.048125682
39	6.975922344
40	6.897414745
41	6.823430608
42	6.759183347
43	6.700298729
44	6.635059318
45	6.565433478
46	6.504487188
47	6.451730703
48	6.394840914
49	6.338147782
50	6.293237242
51	6.249446299
52	6.202678186
53	6.159926958
54	6.113597387
55	6.076529552
56	6.036563467
57	6.003445486
58	5.968838202
59	5.937086721
60	5.907358464
61	5.873870432
62	5.843577426
63	5.815000549
64	5.787375123
65	5.758135124
66	5.73721542
67	5.710813595
68	5.689041116
69	5.666749166
70	5.641630409
71	5.622775727
72	5.605968386
73	5.586185712
74	5.567555168
75	5.550794818
76	5.534912957
77	5.514969368
78	5.495000542
79	5.477355977
80	5.462459874
81	5.45135451
82	5.435172776
83	5.422244543
84	5.408335278
85	5.39473966
86	5.381840546
87	5.371103892
88	5.354165275
89	5.343616979
90	5.335311612
91	5.32511864
92	5.317321319
93	5.308036934
94	5.30259642
95	5.290160905
96	5.279581129
97	5.271905014
98	5.265292832
99	5.252931351
100	5.24258658
101	5.233565969
102	5.224927826
103	5.215542186
104	5.208765074
105	5.20303306
106	5.194547123
107	5.187801134
108	5.182112911
109	5.175714693
110	5.168482225
111	5.16256876
112	5.158140933
113	5.151818178
114	5.142468116
115	5.136769954
116	5.129718439
117	5.124667892
118	5.117420155
119	5.110231945
120	5.102159516
121	5.099298188
122	5.095556771
123	5.090631407
124	5.083693351
125	5.078138501
126	5.071263377
127	5.065385823
128	5.062056038
129	5.058409377
130	5.05394382
131	5.048015221
132	5.037934222
133	5.032767171
134	5.028529055
135	5.023861494
136	5.020546035
137	5.013114158
138	5.009963292
139	5.006770649
140	5.000446657
141	4.995211811
142	4.987880177
143	4.981924726
144	4.977012142
145	4.97148011
146	4.966927793
147	4.963988458
148	4.958321939
149	4.954895054
150	4.950373822
151	4.94664756
152	4.944386483
153	4.939367293
154	4.933162373
155	4.928563383
156	4.925904151
157	4.920053377
158	4.917373485
159	4.910750193
160	4.905292506
161	4.902455653
162	4.896429481
163	4.892959856
164	4.889697517
165	4.88492895
166	4.882157414
167	4.875741215
168	4.870325798
169	4.868340563
170	4.864875899
171	4.86301798
172	4.861305445
173	4.857205292
174	4.855833446
175	4.849324116
176	4.846077725
177	4.843894801
178	4.836932013
179	4.834062867
180	4.829816071
181	4.824945181
182	4.820218816
183	4.817113204
184	4.814929167
185	4.809549741
186	4.803706648
187	4.798418634
188	4.794411936
189	4.789635805
190	4.786690451
191	4.783784223
192	4.78200189
193	4.77633672
194	4.773035438
195	4.769685149
196	4.765554042
197	4.763366298
198	4.760133404
199	4.754669267
200	4.74966871
201	4.745950368
202	4.741179635
203	4.736184209
204	4.731268961
205	4.730389268
206	4.727761177
207	4.722051434
208	4.720150518
209	4.719528785
210	4.715761216
211	4.711015686
212	4.705876409
213	4.700778414
214	4.699460688
215	4.696536355
216	4.692584431
217	4.689316299
218	4.686633316
219	4.681569855
220	4.678839977
221	4.677138395
222	4.674395143
223	4.671289192
224	4.66379213
225	4.661686625
226	4.661088671
227	4.658667439
228	4.655022907
229	4.65446146
230	4.651663004
231	4.647445671
232	4.64261578
233	4.641446823
234	4.636370739
235	4.633276627
236	4.631178722
237	4.625978274
238	4.624808348
239	4.624460103
240	4.619884437
241	4.617629563
242	4.613132461
243	4.607323769
244	4.600704065
245	4.59757064
246	4.596836159
247	4.591821524
248	4.587563054
249	4.584535353
250	4.580164713
251	4.577615771
252	4.577159106
253	4.576575989
254	4.573727837
255	4.571989617
256	4.571221646
257	4.568255028
258	4.567710835
259	4.56226614
260	4.556337694
261	4.55337077
262	4.548706244
263	4.547407257
264	4.54402821
265	4.541171532
266	4.534965034
267	4.533822502
268	4.530107472
269	4.525210229
270	4.523580757
271	4.519260217
272	4.516584942
273	4.515918628
274	4.51017802
275	4.506557994
276	4.50385786
