iter	Passed	Remaining
0	134	134714
1	135	67526
2	135	45156
3	136	33929
4	136	27201
5	137	22725
6	137	19520
7	138	17123
8	138	15251
9	138	13757
10	139	12532
11	139	11511
12	140	10647
13	140	9904
14	141	9263
15	141	8703
16	141	8206
17	142	7764
18	142	7371
19	143	7018
20	143	6695
21	144	6403
22	144	6143
23	145	5900
24	145	5676
25	146	5470
26	146	5278
27	147	5110
28	147	4942
29	148	4788
30	148	4642
31	148	4505
32	149	4376
33	149	4257
34	150	4143
35	150	4036
36	151	3935
37	151	3839
38	152	3747
39	152	3660
40	152	3577
41	153	3497
42	153	3423
43	154	3351
44	154	3282
45	155	3217
46	155	3154
47	156	3094
48	156	3035
49	156	2979
50	157	2925
51	157	2875
52	158	2825
53	158	2777
54	158	2730
55	159	2684
56	159	2641
57	160	2599
58	160	2559
59	160	2521
60	161	2485
61	161	2449
62	162	2415
63	162	2380
64	163	2348
65	163	2316
66	164	2286
67	164	2256
68	165	2228
69	165	2200
70	166	2172
71	166	2145
72	166	2118
73	167	2092
74	167	2067
75	168	2042
76	168	2019
77	168	1996
78	169	1973
79	169	1951
80	170	1930
81	170	1908
82	170	1887
83	171	1868
84	171	1849
85	172	1832
86	172	1814
87	173	1797
88	173	1780
89	174	1763
90	174	1745
91	175	1729
92	175	1713
93	176	1697
94	176	1681
95	176	1666
96	177	1652
97	177	1637
98	178	1623
99	178	1610
100	179	1596
101	179	1583
102	180	1569
103	180	1556
104	181	1544
105	181	1531
106	181	1518
107	182	1506
108	182	1495
109	183	1485
110	184	1473
111	184	1462
112	184	1451
113	185	1440
114	186	1431
115	186	1423
116	187	1413
117	187	1403
118	188	1393
119	188	1383
120	189	1374
121	189	1364
122	190	1354
123	190	1345
124	190	1336
125	191	1328
126	192	1320
127	192	1311
128	192	1302
129	193	1295
130	193	1286
131	194	1278
132	194	1269
133	195	1261
134	195	1253
135	196	1247
136	196	1239
137	197	1232
138	197	1224
139	198	1217
140	198	1210
141	199	1202
142	199	1195
143	199	1188
144	200	1181
145	200	1174
146	201	1167
147	201	1160
148	202	1154
149	202	1148
150	203	1141
151	203	1135
152	204	1129
153	204	1123
154	205	1117
155	205	1111
156	205	1105
157	206	1099
158	206	1093
159	207	1087
160	207	1081
161	207	1075
162	208	1070
163	208	1064
164	209	1059
165	209	1053
166	210	1048
167	210	1042
168	211	1037
169	211	1032
170	211	1027
171	212	1022
172	212	1017
173	213	1012
174	213	1007
175	214	1002
176	214	997
177	214	992
178	215	987
179	215	982
180	216	977
181	216	973
182	216	968
183	217	963
184	217	959
185	218	954
186	218	950
187	218	945
188	219	941
189	219	936
190	220	932
191	220	928
192	220	923
193	221	919
194	221	915
195	222	911
196	222	907
197	223	903
198	223	899
199	223	895
200	224	891
201	224	887
202	225	883
203	225	879
204	225	875
205	226	871
206	226	868
207	227	865
208	227	861
209	228	858
210	228	854
211	229	851
212	229	847
213	229	844
214	230	840
215	230	837
216	231	833
217	231	830
218	231	827
219	232	823
220	232	820
221	233	817
222	233	813
223	234	810
224	234	807
225	234	804
226	235	801
227	235	798
228	236	795
229	236	792
230	237	789
231	237	786
232	237	783
233	238	780
234	238	777
235	239	774
236	239	771
237	240	768
238	240	765
239	240	762
240	241	760
241	241	757
242	242	754
243	242	751
244	243	748
245	243	746
246	243	743
247	244	740
248	244	737
249	245	735
250	245	732
251	245	730
252	246	727
253	246	724
254	247	722
255	247	719
256	248	717
257	248	714
258	248	712
259	249	709
260	249	707
261	250	704
262	250	702
263	251	700
264	251	697
265	251	695
266	252	692
267	252	690
268	253	688
269	253	685
270	254	683
271	254	681
272	254	678
273	255	676
274	255	674
275	256	671
276	256	669
277	256	667
278	257	665
279	257	662
280	258	660
281	258	658
282	258	656
283	259	653
284	259	651
285	260	649
286	260	647
287	261	645
288	261	643
289	261	641
290	262	639
291	262	636
292	263	634
293	263	632
294	263	630
295	264	628
296	264	626
297	265	624
298	265	622
299	265	620
300	266	618
301	266	616
302	267	614
303	267	612
304	268	610
305	268	608
306	268	606
307	269	604
308	269	603
309	270	601
310	270	599
311	271	597
312	271	595
313	271	594
314	272	592
315	272	590
316	273	588
317	273	586
318	274	585
319	274	583
320	275	581
321	275	580
322	275	578
323	276	576
324	277	575
325	277	573
326	277	571
327	278	570
328	278	568
329	279	566
330	279	564
331	279	563
332	280	561
333	280	559
334	281	558
335	281	556
336	282	555
337	282	553
338	282	551
339	283	549
340	283	548
341	284	546
342	284	545
343	285	543
344	285	542
345	285	540
346	286	538
347	286	537
348	287	535
349	287	534
350	288	532
351	288	531
352	289	529
353	289	528
354	289	526
355	290	524
356	290	523
357	291	522
358	291	520
359	292	519
360	292	517
361	292	516
362	293	514
363	293	513
364	294	511
365	294	510
366	295	509
367	295	507
368	296	506
369	296	504
370	297	503
371	297	502
372	297	500
373	298	499
374	298	498
375	299	496
376	299	495
377	300	493
378	300	492
379	300	491
380	301	489
381	301	488
382	302	486
383	302	485
384	302	484
385	303	482
386	303	481
387	304	480
388	304	478
389	305	477
390	305	476
391	306	475
392	306	473
393	307	472
394	308	471
395	308	470
396	308	469
397	309	468
398	309	466
399	310	465
400	310	464
401	311	462
402	311	461
403	312	460
404	312	459
405	312	457
406	313	456
407	313	455
408	314	454
409	314	452
410	315	451
411	315	450
412	316	449
413	316	447
414	316	446
415	317	445
416	317	444
417	318	442
418	318	441
419	319	440
420	319	439
421	320	438
422	320	437
423	321	436
424	321	434
425	321	433
426	322	432
427	322	431
428	323	430
429	323	428
430	323	427
431	324	426
432	324	425
433	325	424
434	325	422
435	326	421
436	326	420
437	326	419
438	327	418
439	327	417
440	328	415
441	328	414
442	329	413
443	329	412
444	329	411
445	330	410
446	330	409
447	331	408
448	331	406
449	331	405
450	332	404
451	332	403
452	333	402
453	333	401
454	334	400
455	334	399
456	335	398
457	335	397
458	336	396
459	336	395
460	336	393
461	337	392
462	337	391
463	338	390
464	338	389
465	339	388
466	339	387
467	339	386
468	340	385
469	340	384
470	341	383
471	341	382
472	342	381
473	342	379
474	342	378
475	343	377
476	343	376
477	344	375
478	344	374
479	344	373
480	345	372
481	345	371
482	346	370
483	346	369
484	347	368
485	347	367
486	347	366
487	348	365
488	348	364
489	349	363
490	349	362
491	350	361
492	350	360
493	351	359
494	351	358
495	352	357
496	352	356
497	353	355
498	353	354
499	353	353
500	354	352
501	354	352
502	355	351
503	355	350
504	356	349
505	356	348
506	356	347
507	357	346
508	357	345
509	358	344
510	358	343
511	359	342
512	359	341
513	359	340
514	360	339
515	360	338
516	361	337
517	361	336
518	361	335
519	362	334
520	362	333
521	363	332
522	363	331
523	364	330
524	364	329
525	365	328
526	365	328
527	366	327
528	366	326
529	366	325
530	367	324
531	367	323
532	368	322
533	368	321
534	368	320
535	369	319
536	369	318
537	369	317
538	370	316
539	370	315
540	371	314
541	371	314
542	371	313
543	372	312
544	372	311
545	373	310
546	373	309
547	373	308
548	374	307
549	374	306
550	375	305
551	375	304
552	376	303
553	376	303
554	376	302
555	377	301
556	377	300
557	378	299
558	378	298
559	379	298
560	379	297
561	380	296
562	380	295
563	380	294
564	381	293
565	381	292
566	382	291
567	382	291
568	383	290
569	383	289
570	384	288
571	384	287
572	384	286
573	385	286
